pressure_ratio,TIT_K,feasible,fuel_kg_min,air_kg_s,hole_radius_scale,hole_area_mm2,nozzle_radius_mm
1.038,970.9688560088657,False,1.5292556577257685,1.2504558813658586,inf,inf,82.76757276143925
1.038,977.7599688505044,False,1.5217393566877238,1.2324891473468038,inf,inf,82.29202357642308
1.038,984.551081692143,False,1.5145190564857198,1.2150936620568988,inf,inf,81.82921793104123
1.038,991.3421945337817,False,1.5075803009363624,1.1982421368453688,inf,inf,81.37862396729693
1.038,998.1333073754204,False,1.5009095484692778,1.181909000637423,inf,inf,80.93973982484674
1.038,1004.924420217059,False,1.4944941010879311,1.1660702667390719,inf,inf,80.51209151727939
1.038,1011.7155330586976,False,1.4883220398463084,1.1507034118523183,inf,inf,80.09523098862469
1.038,1018.5066459003363,False,1.4823821661552998,1.1357872660146082,inf,inf,79.68873433234073
1.038,1025.297758741975,False,1.4766639483129291,1.1213019123281782,inf,inf,79.29220015697756
1.038,1032.0888715836136,False,1.4711574727245935,1.107228595478448,inf,inf,78.90524808449909
1.038,1038.8799844252521,False,1.4658533993401117,1.0935496381552332,inf,inf,78.52751736873903
1.038,1045.6710972668907,False,1.4607429208882643,1.0802483645913459,inf,inf,78.15866562281296
1.038,1052.4622101085295,False,1.4558177255372422,1.0673090305216488,inf,inf,77.79836764551683
1.038,1059.2533229501682,False,1.451069962649015,1.0547167589415491,inf,inf,77.44631433773007
1.038,1066.0444357918068,False,1.4464922113335852,1.0424574811128713,inf,inf,77.10221170082859
1.038,1072.8355486334453,False,1.4420774515389052,1.0305178823230696,inf,inf,76.76577990985858
1.038,1079.6266614750841,False,1.4378190374415567,1.0188853519570835,inf,inf,76.43675245499465
1.038,1086.4177743167227,False,1.4337106729276865,1.0075479374871121,inf,inf,76.11487534543858
1.038,1093.2088871583614,False,1.4297463889743176,0.9964943020255569,inf,inf,75.79990637044376
1.038,1100.0,False,1.425920522762503,0.985713685123985,inf,inf,75.49161441273316
1.057,420.8887158361356,False,,,,,
1.057,427.67982867777425,False,,,,,
1.057,434.47094151941286,False,,,,,
1.057,441.2620543610515,False,,,,,
1.057,448.0531672026902,False,,,,,
1.057,454.8442800443288,False,,,,,
1.057,461.63539288596746,False,,,,,
1.057,468.4265057276061,False,,,,,
1.057,475.21761856924473,False,,,,,
1.057,482.0087314108834,False,,,,,
1.057,488.799844252522,False,,,,,
1.057,495.5909570941607,False,,,,,
1.057,502.38206993579934,False,,,,,
1.057,509.17318277743794,False,,,,,
1.057,515.9642956190767,False,,,,,
1.057,522.7554084607152,False,,,,,
1.057,529.5465213023539,False,,,,,
1.057,536.3376341439925,False,,,,,
1.057,543.1287469856312,False,,,,,
1.057,549.9198598272699,False,,,,,
1.057,556.7109726689084,False,,,,,
1.057,563.5020855105471,False,160.70684508887217,306.49217824184325,inf,inf,1165.6756098275584
1.057,570.2931983521858,False,24.821972040918926,46.32640712357067,inf,inf,453.75045496677893
